id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
186,Javonte Green,2TM,SG,31,68,5.1,3.2,0.8,1,0.5,1.6,18.5,10.7,19,0.429,0.724,0.5
187,Jeff Green,HOU,PF,38,32,5.4,1.8,0.6,0.2,0.1,1.3,12.4,13.6,3,0.504,0.808,0.3
188,Josh Green,CHO,SG,24,68,7.4,2.5,1.6,1.1,0.2,1.5,27.8,7.8,67,0.428,0.681,1
189,Quentin Grimes,2TM,SG,24,75,14.6,4.3,3,1,0.3,3.4,26.8,15.9,37,0.467,0.757,1.9
190,Mouhamed Gueye,ATL,PF,22,33,6,4.2,0.8,0.8,1,1.2,16.2,14.4,28,0.421,0.762,0.5
191,Rui Hachimura,LAL,PF,26,59,13.1,5,1.4,0.8,0.4,4.3,31.7,13.6,57,0.509,0.77,0.8
192,Tyrese Haliburton,IND,PG,24,73,18.6,3.5,9.2,1.4,0.7,10.4,33.6,21.8,73,0.473,0.851,1.6
193,PJ Hall,DEN,C,22,19,1.7,1.2,0.2,0,0.2,0.2,3.5,18.3,0,0.583,0.75,0.1
194,Tim Hardaway Jr.,DET,SG,32,77,11,2.4,1.6,0.5,0.1,3.5,28,9.8,77,0.406,0.855,0.6
195,James Harden,LAC,PG,35,79,22.8,5.8,8.7,1.5,0.7,8.3,35.3,20,79,0.41,0.874,4.3
196,Jaden Hardy,DAL,SG,22,57,8.7,1.6,1.4,0.5,0.1,-0.3,15.9,10.4,3,0.435,0.698,1.4
197,Elijah Harkless,UTA,SG,24,10,3.2,2.1,0.8,1,0.1,0.1,13.8,7.8,0,0.314,0.5,0.3
198,Ron Harper Jr.,DET,SF,24,1,4,7,2,0,0,0,17,7.9,0,0.125,1,0
199,Gary Harris,ORL,SG,30,48,3,1.3,0.6,0.5,0.3,1,14.8,6.9,3,0.383,0.583,0.4
200,Tobias Harris,DET,PF,32,73,13.7,5.9,2.2,1,0.8,5.2,31.6,13.9,73,0.477,0.861,1.2
201,Josh Hart,NYK,SG,29,77,13.6,9.6,5.9,1.5,0.4,9.2,37.6,16.5,77,0.525,0.776,2.1
202,Isaiah Hartenstein,OKC,C,26,57,11.2,10.7,3.8,0.8,1.1,6.8,27.9,18.9,53,0.581,0.675,1.7
203,Sam Hauser,BOS,PF,27,71,8.5,3.2,0.9,0.6,0.2,4.4,21.7,12.8,19,0.451,1,0.3
204,Jordan Hawkins,NOP,SG,22,56,10.8,2.8,1.2,0.5,0.4,-0.5,23.6,9.6,9,0.372,0.816,1
205,Jaxson Hayes,LAL,C,24,56,6.8,4.8,1,0.6,0.9,3.7,19.5,15.8,35,0.722,0.622,0.8
206,Killian Hayes,BRK,PG,23,6,9,3,5.2,0.7,0.7,0.3,27,12.7,5,0.419,0.833,1.5
207,Scoot Henderson,POR,PG,20,66,12.7,3,5.1,1,0.2,1.8,26.7,12.5,10,0.419,0.767,2.7
208,Taylor Hendricks,UTA,PF,21,3,4.7,5,0.7,1.7,1.3,0,25,7.1,3,0.222,0.75,0.7
209,Tyler Herro,MIA,SG,25,77,23.9,5.2,5.5,0.9,0.2,7.4,35.4,19.7,77,0.472,0.878,2.6
